,Open,High,Low,Close,trade_count,vwap,Volume,Adj Close,RSI,MACD,Signal_Line,Middle_Band,Upper_Band,Lower_Band
2025-06-17 10:03:00-04:00,600.655,600.655,600.53,600.53,33.0,600.5971,2434.0,600.53,55.911823647294305,-0.045797955997272766,-0.11099550444021909,600.4675,600.9974006882127,599.9375993117873
2025-06-17 10:04:00-04:00,600.6,600.6,600.42,600.485,21.0,600.5378,2077.0,600.485,57.28952772074044,-0.052224332113723904,-0.09924126997492005,600.49325,600.9686033338497,600.0178966661502
2025-06-17 10:05:00-04:00,600.495,600.695,600.41,600.69,25.0,600.5311,2693.0,600.69,57.02479338843119,-0.04031081673940662,-0.08745517932781736,600.5225,600.9683404274416,600.0766595725585
2025-06-17 10:06:00-04:00,600.69,600.81,600.655,600.81,60.0,600.7155,3228.0,600.81,51.627906976742985,-0.020944833847806876,-0.07415311023181527,600.55075,600.9941492526718,600.1073507473282
2025-06-17 10:07:00-04:00,600.87,600.93,600.83,600.835,42.0,600.8881,2362.0,600.835,57.7608142493667,-0.0035390656695426514,-0.06003030131936075,600.5755,601.0245914833638,600.1264085166363
2025-06-17 10:08:00-04:00,600.93,600.93,600.91,600.92,14.0,600.9225,472.0,600.92,60.09852216748874,0.01691889020423787,-0.04464046301464103,600.6095,601.0545889945441,600.1644110054559
2025-06-17 10:09:00-04:00,600.92,601.15,600.92,601.15,17.0,601.0115,722.0,601.15,69.04761904762086,0.05110197369265279,-0.025491975673182267,600.65525,601.1256414969857,600.1848585030143
2025-06-17 10:10:00-04:00,601.24,601.24,601.08,601.12,39.0,601.1597,2392.0,601.12,62.637362637365655,0.07490807074270833,-0.005411966390004146,600.70475,601.1501058629356,600.2593941370644
2025-06-17 10:11:00-04:00,601.13,601.27,601.13,601.27,18.0,601.2086,744.0,601.27,63.82978723404461,0.10467173001859464,0.016604772891715615,600.7507499999999,601.2305446407438,600.270955359256
2025-06-17 10:12:00-04:00,601.41,601.505,601.36,601.505,58.0,601.4236,3488.0,601.505,69.49152542373031,0.14554443480710688,0.04239270527479387,600.789,601.3753320439058,600.2026679560942
2025-06-17 10:13:00-04:00,601.56,601.56,601.365,601.43,35.0,601.4292,3282.0,601.43,66.26794258373238,0.16992567719341878,0.06789929965851885,600.834,601.4724652671002,600.1955347328997
2025-06-17 10:14:00-04:00,601.42,601.63,601.42,601.525,29.0,601.5256,1758.0,601.525,64.12213740458029,0.1946696627987876,0.0932533722865726,600.88475,601.5741087809528,600.1953912190473
2025-06-17 10:15:00-04:00,601.52,601.575,601.42,601.42,45.0,601.4532,5267.0,601.42,75.67567567567512,0.20346145023540885,0.11529498787633986,600.9382499999999,601.6188942400496,600.2576057599503
2025-06-17 10:16:00-04:00,601.465,601.485,601.4,601.4,23.0,601.4526,705.0,601.4,72.92993630573429,0.20643551218461198,0.1335230927379943,600.9752500000001,601.6724585336617,600.2780414663384
2025-06-17 10:17:00-04:00,601.46,601.535,601.36,601.38,28.0,601.4259,1929.0,601.38,79.51388888889089,0.20481763465545555,0.14778200112148654,601.00675,601.7178964076387,600.2956035923613
2025-06-17 10:18:00-04:00,601.35,601.42,601.14,601.16,47.0,601.3125,4531.0,601.16,70.89783281733594,0.18366610514215154,0.15495882192561955,601.0297499999999,601.7287754512679,600.330724548732
2025-06-17 10:19:00-04:00,601.085,601.27,601.075,601.27,35.0,601.1347,2044.0,601.27,69.07894736841888,0.17377626173265526,0.15872230988702668,601.05575,601.7496275505857,600.3618724494142
2025-06-17 10:20:00-04:00,601.22,601.38,601.22,601.355,24.0,601.3025,858.0,601.355,68.35016835016923,0.17082807944063916,0.1611434637977492,601.075,601.7801315684982,600.3698684315019
2025-06-17 10:21:00-04:00,601.38,601.38,601.28,601.38,27.0,601.3129,1641.0,601.38,68.3501683501668,0.1685657932638378,0.1626279296909669,601.11575,601.7903202354687,600.4411797645314
2025-06-17 10:22:00-04:00,601.3,601.315,601.27,601.27,17.0,601.3014,2713.0,601.27,61.58940397350988,0.15609744035305084,0.1613218318233837,601.1452499999999,601.7905526645679,600.4999473354319
2025-06-17 10:23:00-04:00,601.255,601.375,601.25,601.36,31.0,601.2732,3385.0,601.36,57.664233576643,0.15172938675789283,0.15940334281028554,601.1867500000001,601.7691432045376,600.6043567954625
2025-06-17 10:24:00-04:00,601.31,601.31,601.01,601.01,16.0,601.1483,379.0,601.01,46.74556213017743,0.11865778480444078,0.1512542312091166,601.213,601.7020635546462,600.7239364453537
2025-06-17 10:25:00-04:00,601.115,601.15,601.085,601.15,30.0,601.115,1653.0,601.15,46.42857142857167,0.12827425462080555,0.17894840109286816,601.236,601.6605071445694,600.8114928554306
2025-06-17 10:26:00-04:00,601.185,601.195,601.09,601.115,38.0,601.1423,3742.0,601.115,36.82432432432596,0.10981327308934397,0.16512137549216332,601.25125,601.6308602571972,600.8716397428028
2025-06-17 10:27:00-04:00,601.09,601.17,601.045,601.15,31.0,601.0927,2788.0,601.15,40.27777777777909,0.09689013060062734,0.15147512651385614,601.267,601.5967590827142,600.9372409172859
2025-06-17 10:28:00-04:00,601.21,601.21,601.17,601.17,21.0,601.1867,440.0,601.17,36.99633699633642,0.08725644197727433,0.13863138960653978,601.2795,601.5705579613118,600.9884420386882
2025-06-17 10:29:00-04:00,601.185,601.185,601.12,601.175,43.0,601.1467,1455.0,601.175,40.31620553359655,0.07911316522711331,0.12672774473065448,601.28075,601.569673136748,600.9918268632521
2025-06-17 10:30:00-04:00,601.19,601.3,601.19,601.27,19.0,601.2663,983.0,601.27,45.14925373134357,0.07940987814095024,0.11726417141271364,601.28825,601.5672194380561,601.0092805619438
2025-06-17 10:32:00-04:00,601.26,601.26,601.26,601.26,26.0,601.26,1094.0,601.26,51.45299145299199,-0.0023034177795580035,0.012656456154109815,601.11525,601.4244676035036,600.8060323964963
2025-06-17 10:33:00-04:00,601.22,601.27,601.17,601.17,29.0,601.247222,1157.0,601.17,57.142857142857146,-0.011376959080507731,-0.0205322301438043,601.00125,601.3109506194452,600.6915493805549
2025-06-17 10:34:00-04:00,601.125,601.165,601.115,601.115,28.0,601.134934,703.0,601.115,53.592233009709986,-0.0023157273213882945,-0.016888929579321102,601.00125,601.3109506194452,600.6915493805549
2025-06-17 10:35:00-04:00,600.96,600.96,600.71,600.79,37.0,600.853356,1812.0,600.79,42.857142857142854,-0.021116007540626924,-0.017734345171582268,601.00125,601.3109506194452,600.6915493805549
2025-06-17 10:36:00-04:00,600.875,600.99,600.875,600.93,33.0,600.954651,2242.0,600.93,46.63023679417015,-0.02443684238426158,-0.019074844614118132,601.00125,601.3109506194452,600.6915493805549
